Run,Temperature,Pressure,Feed Rate,Phenol Fraction,Cross Sectional Area,Weigth,Selectivity,Conversion,Yield
140.0,873.15,4.0,150.0,0.0775,0.1,1.1189999999999876,1.33402952818715,0.2688582132499065,8.001789681352609
141.0,873.15,4.0,150.0,0.0775,0.2,1.0569999999999944,1.33398208528914,0.26882044680660444,8.00166775561794
142.0,873.15,4.0,150.0,0.0775,0.30000000000000004,1.050999999999995,1.3339775521456843,0.26876699370797286,8.00165610541991
143.0,873.15,4.0,150.0,0.0775,0.4,1.0499999999999952,1.3339767732884682,0.26881616616233295,8.001654103749036
144.0,873.15,4.0,150.0,0.0775,0.5,1.0499999999999952,1.3339767457379188,0.26888303578515305,8.0016540329439
145.0,873.15,4.0,150.0,0.1,0.1,0.9170000000000007,1.33390309344122,0.20833586097570417,8.001464739755892
146.0,873.15,4.0,150.0,0.1,0.2,0.8730000000000007,1.333869324365705,0.20837691295923028,8.00137794612599
147.0,873.15,4.0,150.0,0.1,0.30000000000000004,0.8690000000000007,1.3338662731887465,0.20838842705734517,8.001370103835496
148.0,873.15,4.0,150.0,0.1,0.4,0.8680000000000007,1.3338655128855887,0.2083870347339654,8.00136814966241
149.0,873.15,4.0,150.0,0.1,0.5,0.8670000000000007,1.3338647904265848,0.2083006359896578,8.001366292757202
155.0,873.15,4.0,187.5,0.0325,0.1,2.787999999999804,1.3347537548898094,0.512648158561581,8.003650290451818
156.0,873.15,4.0,187.5,0.0325,0.2,2.2909999999998587,1.3344494131554594,0.5126505749892163,8.002868547459236
157.0,873.15,4.0,187.5,0.0325,0.30000000000000004,2.2559999999998626,1.3344285315722757,0.5126576060187131,8.002814902810247
158.0,873.15,4.0,187.5,0.0325,0.4,2.2479999999998634,1.3344237584297096,0.5126907222245666,8.002802640503756
159.0,873.15,4.0,187.5,0.0325,0.5,2.2449999999998638,1.334421976231539,0.5126846766344503,8.00279806198525
160.0,873.15,4.0,187.5,0.05500000000000001,0.1,1.3469999999999624,1.3339800848782253,0.3029968199810659,8.001662614558933
161.0,873.15,4.0,187.5,0.05500000000000001,0.2,1.2199999999999764,1.3339049310832187,0.3029802199182176,8.001469462810405
162.0,873.15,4.0,187.5,0.05500000000000001,0.30000000000000004,1.2099999999999775,1.3338990654489187,0.3030773449910209,8.001454387099969
163.0,873.15,4.0,187.5,0.05500000000000001,0.4,1.2069999999999779,1.333897341315704,0.3030146836522225,8.001449955760402
164.0,873.15,4.0,187.5,0.05500000000000001,0.5,1.205999999999978,1.3338967639086754,0.3030019795927019,8.001448471716632
165.0,873.15,4.0,187.5,0.0775,0.1,0.9670000000000007,1.333792119606721,0.215024957527076,8.001179504214337
166.0,873.15,4.0,187.5,0.0775,0.2,0.8970000000000007,1.333750868586649,0.21508151921974533,8.001073469989308
167.0,873.15,4.0,187.5,0.0775,0.30000000000000004,0.8910000000000007,1.3337473657386874,0.21510879639596067,8.0010644658752
168.0,873.15,4.0,187.5,0.0775,0.4,0.8890000000000007,1.3337462311669592,0.21503428660284563,8.001061549438697
169.0,873.15,4.0,187.5,0.0775,0.5,0.8890000000000007,1.3337462019020017,0.21511194240413603,8.001061474212559
170.0,873.15,4.0,187.5,0.1,0.1,0.8000000000000006,1.3337128578796111,0.1667470883336359,8.000975761550984
171.0,873.15,4.0,187.5,0.1,0.2,0.7480000000000006,1.333682177860573,0.16668477618856126,8.000896894694337
172.0,873.15,4.0,187.5,0.1,0.30000000000000004,0.7440000000000005,1.333679806491635,0.1667671628684436,8.000890798705079
173.0,873.15,4.0,187.5,0.1,0.4,0.7430000000000005,1.3336792165083637,0.16678242297737672,8.000889282055391
174.0,873.15,4.0,187.5,0.1,0.5,0.7420000000000005,1.333678667354075,0.1666983105412073,8.000887870362627
180.0,873.15,4.0,225.0,0.0325,0.1,2.5039999999998352,1.334364525762382,0.42727439480589013,8.00265046632864
181.0,873.15,4.0,225.0,0.0325,0.2,1.941999999999897,1.334084792492161,0.4273336519717841,8.00193170143924
182.0,873.15,4.0,225.0,0.0325,0.30000000000000004,1.9059999999999009,1.334067541358679,0.42730469377218605,8.001887369612929
183.0,873.15,4.0,225.0,0.0325,0.4,1.8979999999999018,1.3340637008519565,0.42735469083640615,8.001877500219955
184.0,873.15,4.0,225.0,0.0325,0.5,1.894999999999902,1.3340622690606183,0.42735153694252803,8.00187382077233
185.0,873.15,4.0,225.0,0.05500000000000001,0.1,1.2369999999999746,1.3338141317363108,0.25259357093495927,8.00123608404745
186.0,873.15,4.0,225.0,0.05500000000000001,0.2,1.0859999999999912,1.333741433835373,0.25263602250506784,8.001049217782597
187.0,873.15,4.0,225.0,0.05500000000000001,0.30000000000000004,1.0729999999999926,1.333735354629731,0.25249263774595854,8.001033590965477
188.0,873.15,4.0,225.0,0.05500000000000001,0.4,1.0709999999999928,1.3337343712506036,0.25262059664278536,8.001031063146412
189.0,873.15,4.0,225.0,0.05500000000000001,0.5,1.069999999999993,1.3337339001511181,0.2526234056556763,8.001029852163775
190.0,873.15,4.0,225.0,0.0775,0.1,0.8940000000000007,1.3336768665808745,0.17929410373740398,8.000883241169678
191.0,873.15,4.0,225.0,0.0775,0.2,0.8090000000000006,1.3336361286327172,0.179326416591695,8.000778515456616
192.0,873.15,4.0,225.0,0.0775,0.30000000000000004,0.8010000000000006,1.3336324026016046,0.17920323743674788,8.000768936704677
193.0,873.15,4.0,225.0,0.0775,0.4,0.8000000000000006,1.3336318950893051,0.17930761920153734,8.000767632007232
194.0,873.15,4.0,225.0,0.0775,0.5,0.7990000000000006,1.333631445077879,0.17925028053896663,8.000766475130952
195.0,873.15,4.0,225.0,0.1,0.1,0.7410000000000005,1.333618068924686,0.1389537659086577,8.00073208789849
196.0,873.15,4.0,225.0,0.1,0.2,0.6780000000000005,1.3335878232093024,0.13891090081675342,8.00065433117229
197.0,873.15,4.0,225.0,0.1,0.30000000000000004,0.6730000000000005,1.3335854365289217,0.13896156163049037,8.000648195326285
198.0,873.15,4.0,225.0,0.1,0.4,0.6720000000000005,1.3335849483283546,0.13900163267729432,8.000646940224415
199.0,873.15,4.0,225.0,0.1,0.5,0.6710000000000005,1.3335845046333188,0.1389269695673693,8.00064579954013
205.0,873.15,4.0,262.5,0.0325,0.1,2.4649999999998395,1.3341977998736527,0.36621890123233203,8.002222090708083
206.0,873.15,4.0,262.5,0.0325,0.2,1.7449999999999186,1.3338933032057423,0.36627851828146724,8.001439577049128
207.0,873.15,4.0,262.5,0.0325,0.30000000000000004,1.705999999999923,1.3338776780536277,0.36627134479209417,8.001399417095653
208.0,873.15,4.0,262.5,0.0325,0.4,1.696999999999924,1.3338740831056148,0.3662808501994386,8.001390177241031
209.0,873.15,4.0,262.5,0.0325,0.5,1.6939999999999242,1.3338728788571717,0.36630721993180887,8.001387082035306
210.0,873.15,4.0,262.5,0.05500000000000001,0.1,1.1899999999999797,1.3337238319756073,0.2164391100076495,8.001003971344712
211.0,873.15,4.0,262.5,0.05500000000000001,0.2,1.0030000000000003,1.333647726325433,0.21651108180052456,8.00080833020821
212.0,873.15,4.0,262.5,0.05500000000000001,0.30000000000000004,0.9890000000000008,1.333642199045849,0.2164880688720319,8.000794120999238
213.0,873.15,4.0,262.5,0.05500000000000001,0.4,0.9860000000000008,1.3336410030599277,0.21652946803710957,8.00079104641942
214.0,873.15,4.0,262.5,0.05500000000000001,0.5,0.9850000000000008,1.3336406014281001,0.21655359263583496,8.00079001392393
215.0,873.15,4.0,262.5,0.0775,0.1,0.8590000000000007,1.3336116704004009,0.15369419052510505,8.000715638520141
216.0,873.15,4.0,262.5,0.0775,0.2,0.7530000000000006,1.333568800656021,0.15364148452730114,8.000605426304816
217.0,873.15,4.0,262.5,0.0775,0.30000000000000004,0.7450000000000006,1.333565617354735,0.15369387185601177,8.00059724231365
218.0,873.15,4.0,262.5,0.0775,0.4,0.7430000000000005,1.333564827826563,0.15369350263941997,8.000595212501874
219.0,873.15,4.0,262.5,0.0775,0.5,0.7420000000000005,1.3335644473475416,0.15365171151729126,8.000594234321166
220.0,873.15,4.0,262.5,0.1,0.1,0.7120000000000005,1.3335639402342094,0.11912785373927247,8.00059293057351
221.0,873.15,4.0,262.5,0.1,0.2,0.6340000000000005,1.333532317589416,0.1190957731754556,8.000511630170104
222.0,873.15,4.0,262.5,0.1,0.30000000000000004,0.6280000000000004,1.3335299150900903,0.11914062435886552,8.000505453361932
223.0,873.15,4.0,262.5,0.1,0.4,0.6260000000000004,1.333529145439287,0.11907586595643874,8.000503474592497
224.0,873.15,4.0,262.5,0.1,0.5,0.6260000000000004,1.3335291187920935,0.11914790641516626,8.00050340608274
230.0,873.15,4.0,300.0,0.0325,0.1,2.6929999999998144,1.3341782448614419,0.3204370139986764,8.002171843208577
231.0,873.15,4.0,300.0,0.0325,0.2,1.6219999999999322,1.3337780720664694,0.3205891459169239,8.001143395951347
232.0,873.15,4.0,300.0,0.0325,0.30000000000000004,1.577999999999937,1.3337629399439255,0.32054733946434705,8.001104499355783
233.0,873.15,4.0,300.0,0.0325,0.4,1.567999999999938,1.333759512452799,0.32055652803675544,8.001095689038728
234.0,873.15,4.0,300.0,0.0325,0.5,1.5639999999999386,1.3337581619839247,0.3204963811215613,8.00109221767067
235.0,873.15,4.0,300.0,0.05500000000000001,0.1,1.18799999999998,1.3336731140192444,0.1894346411545368,8.000873594550724
