Run,Temperature,Pressure,Feed Rate,Phenol Fraction,Cross Sectional Area,Weigth,Selectivity,Conversion,Yield,Normalized Weigth,Normalized Selectivity,Normalized Conversion,Normalized Yield,Overall Efficiency
2198.0,1023.15,6.0,225.0,0.1,0.4,0.037,1.3333448914683537,0.1398747008385254,8.000029720771396,1.0,0.9942152446016448,0.2773836092218251,0.997520820189188,3.269119674012658
2197.0,1023.15,6.0,225.0,0.1,0.3,0.037,1.333344891568006,0.1398696692560641,8.00002972102766,1.0,0.9942152446017442,0.2773834844897161,0.9975208201892308,3.2691195492806915
2196.0,1023.15,6.0,225.0,0.1,0.2,0.037,1.333344891976261,0.1398490601666411,8.000029722077446,1.0,0.9942152446020234,0.2773831353078013,0.9975208201893506,3.269119200099176
2195.0,1023.15,6.0,225.0,0.1,0.1,0.037,1.3333448960319627,0.1396447201649105,8.000029732506249,1.0,0.9942152446031658,0.2773817053461224,0.997520820189842,3.2691177701391303
2194.0,1023.15,6.0,225.0,0.0775,0.5,0.044,1.333347181362443,0.1813135078200523,8.000035609006384,1.0,0.9942152446144962,0.2773675279485695,0.9975208201947144,3.26910359275778
2183.0,1023.15,6.0,225.0,0.0325,0.4,0.101,1.3333668094680815,0.4287150333408292,8.000086080254366,1.0,0.9942154375397928,0.2702796587489602,0.9975209031518412,3.262015999440594
2182.0,1023.15,6.0,225.0,0.0325,0.3,0.101,1.333366809941196,0.4286865062882283,8.000086081470913,1.0,0.9942154375398754,0.2702795739862273,0.9975209031518778,3.262015914677981
2181.0,1023.15,6.0,225.0,0.0325,0.2,0.101,1.3333668118786597,0.4285697381428199,8.000086086452827,1.0,0.9942154375401064,0.2702793367860815,0.9975209031519768,3.262015677478165
2180.0,1023.15,6.0,225.0,0.0325,0.1,0.101,1.3333668311691989,0.4274123712921088,8.00008613605564,1.0,0.9942154375410523,0.2702783657823639,0.9975209031523824,3.262014706475799
2148.0,1023.15,6.0,150.0,0.1,0.4,0.047,1.3333575514864895,0.2083404920960096,8.000062274604614,0.2666666666666665,0.9942200078366658,1.0,0.9975228683563504,3.258409542859683
2147.0,1023.15,6.0,150.0,0.1,0.3,0.047,1.333357551572146,0.208336820949998,8.000062274824852,0.2666666666666665,0.9942200078370602,0.9999995796530368,0.9975228683565204,3.2584091225132843
2146.0,1023.15,6.0,150.0,0.1,0.2,0.048,1.33335815275231,0.2107938472913512,8.000063820684227,0.2666666666666665,0.9942200078381592,0.9999984056974138,0.9975228683569928,3.2584079485592325
2145.0,1023.15,6.0,150.0,0.1,0.1,0.048,1.333358156343393,0.2106409716951455,8.000063829918243,0.2666666666666665,0.9942200078426446,0.9999936096127304,0.9975228683589212,3.258403152480963
2144.0,1023.15,6.0,150.0,0.0775,0.5,0.057,1.3333630428223684,0.2704941303009736,8.000076394856245,0.2666666666666665,0.9942200078869676,0.9999461748912362,0.99752286837798,3.2583557178228504
2218.0,1023.15,6.0,262.5,0.0775,0.4,0.041,1.3333440790564064,0.1556689674971998,8.000027631732031,1.0,0.9942151230895712,0.2492136776560141,0.99752076793946,3.2409495686850454
2217.0,1023.15,6.0,262.5,0.0775,0.3,0.041,1.333344079195971,0.1556608320113875,8.000027632090966,1.0,0.9942151230896916,0.2492135200565397,0.9975207679395108,3.240949411085742
2216.0,1023.15,6.0,262.5,0.0775,0.2,0.041,1.333344079767924,0.1556275017654855,8.000027633561695,1.0,0.9942151230900294,0.2492130786696416,0.9975207679396554,3.2409489696993266
2215.0,1023.15,6.0,262.5,0.0775,0.1,0.041,1.3333440854549412,0.1552969848179738,8.000027648185291,1.0,0.9942151230914122,0.2492112703018369,0.9975207679402514,3.2409471613335006
2214.0,1023.15,6.0,262.5,0.055,0.5,0.053,1.3333473566507168,0.216691860379729,8.000036059742275,1.0,0.9942151231051298,0.2491933328453989,0.9975207679461496,3.2409292238966785
2199.0,1023.15,6.0,225.0,0.1,0.5,0.037,1.333344891432766,0.1398764978246035,8.000029720679894,1.0,0.9942152572428068,0.2400156656612238,0.99752082562484,3.231751748528871
2238.0,1023.15,6.0,300.0,0.055,0.4,0.05,1.3333446444518844,0.1896964393010535,8.000029085592423,1.0,0.994215034459727,0.2264170425874584,0.997520729828959,3.2181528068761445
2237.0,1023.15,6.0,300.0,0.055,0.3,0.05,1.333344644677538,0.1896815397329353,8.000029086172653,1.0,0.9942150344598688,0.2264168504980546,0.9975207298290208,3.2181526147869444
2236.0,1023.15,6.0,300.0,0.055,0.2,0.05,1.3333446456025606,0.1896204889692955,8.000029088551289,1.0,0.994215034460266,0.2264163123379305,0.9975207298291904,3.218152076627387
2235.0,1023.15,6.0,300.0,0.055,0.1,0.051,1.3333449088684273,0.1916686822034065,8.000029765513986,1.0,0.9942150344618944,0.2264141067479914,0.997520729829891,3.2181498710397767
2234.0,1023.15,6.0,300.0,0.0325,0.5,0.084,1.3333528893775255,0.3222069287467802,8.000050286549303,1.0,0.9942150344780524,0.2263922216128614,0.99752072983684,3.218127985927754
2223.0,1023.15,6.0,262.5,0.1,0.4,0.035,1.3333424594068122,0.1210235350955653,8.000023466954328,1.0,0.9942151329136284,0.2161733914344981,0.9975207721637672,3.207909296511893
2222.0,1023.15,6.0,262.5,0.1,0.3,0.035,1.3333424595172876,0.1210176921354134,8.000023467238366,1.0,0.9942151329137536,0.2161732482153509,0.9975207721638212,3.2079091532929254
2221.0,1023.15,6.0,262.5,0.1,0.2,0.035,1.3333424599700954,0.1209937500033832,8.000023468402736,1.0,0.994215132914106,0.2161728470347817,0.9975207721639712,3.207908752112859
2220.0,1023.15,6.0,262.5,0.1,0.1,0.035,1.333342464472161,0.1207562876098417,8.000023479979404,1.0,0.9942151329155476,0.2161712031071887,0.9975207721645922,3.207907108187329
2219.0,1023.15,6.0,262.5,0.0775,0.5,0.041,1.3333440790065778,0.1556718723272107,8.000027631603935,1.0,0.9942151329298544,0.216154893790136,0.9975207721707452,3.207890798890736
2243.0,1023.15,6.0,300.0,0.0775,0.4,0.039,1.3333420860561285,0.1365849363796903,8.000022506917052,1.0,0.9942150423360502,0.1968081351401493,0.9975207332157484,3.188543910691948
2242.0,1023.15,6.0,300.0,0.0775,0.3,0.039,1.3333420862077756,0.1365757485697264,8.000022507307028,1.0,0.9942150423361984,0.1968079600836285,0.9975207332158136,3.1885437356356405
2241.0,1023.15,6.0,300.0,0.0775,0.2,0.039,1.3333420868294883,0.136538095102247,8.000022508905639,1.0,0.9942150423366132,0.1968074695698181,0.9975207332159906,3.188543245122422
2240.0,1023.15,6.0,300.0,0.0775,0.1,0.039,1.333342093016304,0.1361646354814501,8.000022524814494,1.0,0.9942150423383128,0.1968054589474657,0.9975207332167232,3.1885412345025013
2239.0,1023.15,6.0,300.0,0.055,0.5,0.05,1.333344644371335,0.1897017584751403,8.000029085385297,1.0,0.9942150423551832,0.1967855052191018,0.9975207332239752,3.1885212807982604
1674.0,973.15,8.0,187.5,0.1,0.5,0.018,1.333341410301897,0.168608282303267,8.000020769275844,0.1999999999999999,0.9942231214641728,0.9941886016867758,0.9975242071944964,3.185935930345445
1673.0,973.15,8.0,187.5,0.1,0.4,0.018,1.3333414103059615,0.1686079177213699,8.000020769286294,0.1999999999999999,0.9942231214663172,0.9941871037177832,0.9975242071954188,3.185934432379519
1672.0,973.15,8.0,187.5,0.1,0.3,0.018,1.3333414103173336,0.1686068974751647,8.000020769315556,0.1999999999999999,0.9942231214750672,0.994180984063895,0.9975242071991808,3.1859283127381426
1671.0,973.15,8.0,187.5,0.1,0.2,0.018,1.333341410363888,0.1686027209964433,8.000020769435233,0.1999999999999999,0.9942231215615388,0.9941204594844903,0.9975242072363631,3.1858677882823923
2174.0,1023.15,6.0,187.5,0.1,0.5,0.041,1.3333493254194726,0.1682669233827518,8.000041122225367,0.8,0.9942157144354102,0.3581062750127092,0.9975210222158488,3.1498430116639686
2168.0,1023.15,6.0,187.5,0.0775,0.4,0.048,1.3333521603441587,0.2151971444535561,8.000048411922913,0.3636363636363635,0.994217417643254,0.7910591777676346,0.997521754587569,3.1464347136348207
2167.0,1023.15,6.0,187.5,0.0775,0.3,0.048,1.3333521604610394,0.2151911040492629,8.000048412223478,0.3636363636363635,0.9942174176436328,0.7910587099034747,0.9975217545877324,3.146434245771203
2166.0,1023.15,6.0,187.5,0.0775,0.2,0.048,1.3333521609394623,0.2151663829986849,8.000048413453676,0.3636363636363635,0.994217417644691,0.7910574017642434,0.9975217545881871,3.1464329376334854
2165.0,1023.15,6.0,187.5,0.0775,0.1,0.049,1.3333526177689166,0.2176355987201455,8.000049588138808,0.3636363636363635,0.994217417649019,0.7910520514171111,0.9975217545900484,3.1464275872925422
2164.0,1023.15,6.0,187.5,0.055,0.5,0.065,1.3333592842880646,0.3044780199197014,8.000066730284292,0.3636363636363635,0.9942174176918656,0.7909990733664517,0.9975217546084724,3.146374609303153
2163.0,1023.15,6.0,187.5,0.055,0.4,0.065,1.33335928435491,0.3044743516564588,8.000066730456188,0.8,0.9942161139351912,0.3501462340962848,0.9975211939990888,3.141883542030565
2162.0,1023.15,6.0,187.5,0.055,0.3,0.065,1.3333592845418754,0.3044640915401856,8.000066730936926,0.8,0.9942161139352818,0.3501461539198275,0.9975211939991276,3.141883461854237
2161.0,1023.15,6.0,187.5,0.055,0.2,0.065,1.333359285306995,0.3044221122335289,8.000066732904331,0.8,0.9942161139355348,0.3501459297476416,0.9975211939992356,3.141883237682412
2160.0,1023.15,6.0,187.5,0.055,0.1,0.065,1.3333592929019151,0.304006294574035,8.000066752433701,0.8,0.99421611393657,0.3501450128828305,0.9975211939996808,3.1418823208190814
2159.0,1023.15,6.0,187.5,0.0325,0.5,0.119,1.3333832959999372,0.5140454391532842,8.000128472677488,0.8,0.9942161139468176,0.3501359345810707,0.9975211940040878,3.141873242531976
2213.0,1023.15,6.0,262.5,0.055,0.4,0.053,1.3333473567256495,0.2166871222395953,8.000036059934954,0.8,0.9942152993545116,0.3379679330344242,0.9975208437327092,3.129704076121645
2212.0,1023.15,6.0,262.5,0.055,0.3,0.053,1.3333473569354886,0.2166738548267709,8.000036060474528,0.8,0.994215299354684,0.3379676852247901,0.9975208437327842,3.1297038283122585
