Run,Temperature,Pressure,Feed Rate,Phenol Fraction,Cross Sectional Area,Weigth,Selectivity,Conversion,Yield,Normalized Weigth,Normalized Selectivity,Normalized Conversion,Normalized Yield,Overall Efficiency
83.0,873.15,4.0,262.5,0.0325,0.16250000000000003,1.7989999999998183,1.3339149574292977,0.36623631421034664,8.001495232105512,0.0003891050583657981,0.9982682451176197,0.5684722522028264,0.9992580042915292,2.566387606670341
84.0,873.15,4.0,262.5,0.0325,0.2,1.746799999999824,1.3338938864716632,0.3662439913490811,8.001441076155798,0.00040073276849099534,0.9982524761454048,0.5684841686627118,0.9992512410848207,2.566388618661428
86.0,873.15,4.0,262.5,0.05500000000000001,0.08750000000000001,1.3798999999998645,1.333804642761974,0.2164217390651495,8.001211693781059,0.0005072831364592136,0.9981856884083283,0.335929968324649,0.9992225949171543,2.3338455347865907
87.0,873.15,4.0,262.5,0.05500000000000001,0.125,1.0733999999998982,1.3336758685599737,0.21642945332187594,8.00088067558483,0.0006521334078629276,0.998089317049771,0.3359419423991064,0.999181256070782,2.3338646489275225
88.0,873.15,4.0,262.5,0.05500000000000001,0.16250000000000003,1.021599999999904,1.333655084069262,0.2164340015077902,8.000827244963704,0.0006851996867659221,0.998073762462162,0.33594900209632866,0.9991745834459431,2.3338825476912
89.0,873.15,4.0,262.5,0.05500000000000001,0.2,1.003699999999906,1.3336479738001215,0.21643841725010307,8.000808966400285,0.0006974195476736731,0.9980684413164189,0.3359558562145041,0.9991723007474882,2.3338940178260845
91.0,873.15,4.0,262.5,0.0775,0.08750000000000001,0.9487999999999118,1.3336492752514693,0.15359549274002451,8.000812312085362,0.0007377740303542002,0.9980694152897189,0.23841102670112513,0.9991727185697197,2.2363909345909176
92.0,873.15,4.0,262.5,0.0775,0.125,0.7946999999999288,1.333585450098439,0.1536086249765421,8.000648230211878,0.000880835535422251,0.9980216501581002,0.238431410567443,0.9991522273839247,2.23648612364489
93.0,873.15,4.0,262.5,0.0775,0.16250000000000003,0.7643999999999321,1.333573319480796,0.15360580786366335,8.000617043772133,0.0009157509157509972,0.9980125719104058,0.23842703784294583,0.9991483326994143,2.2365036933685167
94.0,873.15,4.0,262.5,0.0775,0.2,0.7536999999999333,1.3335690688473567,0.15361015868078637,8.00060611580047,0.0009287514926364098,0.9980093908437566,0.23843379118419814,0.9991469679715932,2.2365189014921842
96.0,873.15,4.0,262.5,0.1,0.08750000000000001,0.774399999999931,1.3335900378393482,0.11904344741517096,8.000660024687672,0.0009039256198347913,0.998025083507461,0.18477931880677256,0.9991537003241693,2.1828620282582376
