Run,Normalized Weigth,Normalized Selectivity,Normalized Conversion,Normalized Yield,Overall Efficiency
0,0.00027704668236602786,0.9987931293765726,0.2563438848488849,0.9994841272983177,2.254898188206141
1,0.00028987607797671135,0.9985468966489277,0.2563690419320512,0.9993787882796682,2.254584602938624
2,0.00029837386244969374,0.9976682021414623,0.21371972221080934,0.9990026378582059,2.2106889360729274
3,0.00031713311662574263,0.9974183955136923,0.21374302978374307,0.9988956317234299,2.210374190137491
4,0.00028105677346828894,0.997251580595223,0.23641998312652784,0.9988241584936007,2.23277677898882
5,0.00030926240915420865,0.9970294406521653,0.18323808438064434,0.9987289595570671,2.179305746999031
6,0.00033548603539380965,0.9967594101044935,0.1832662702863574,0.9986132042281446,2.178974370654389
7,0.00029114200451274715,0.9967457757802173,0.2069066333271169,0.9986073585835775,2.2025509096954243
8,0.0003116964076989419,0.9966430528900363,0.16035937232203165,0.9985633137445669,2.1558774353643337
9,0.00034734282737064324,0.996336743911212,0.16038355107021035,0.9984319457751561,2.155499583583949
10,0.0011086474501109528,0.9960421929303893,0.9871492248490251,0.9983055769257037,2.982605642155229
11,0.0013071895424837568,0.9957139903276789,0.9872762903003712,0.9981647204349122,2.982462190605446
12,0.001324942033786119,0.9956898837695515,0.9872809229823397,0.9981543723994521,2.9824501211851295
13,0.0013293452974411078,0.9956840200261876,0.9872513881389933,0.9981518552724362,2.9824166087350585
14,0.0013306719893547215,0.9956822491538797,0.9873104622065655,0.9981510950873841,2.982474478437184
15,0.002517306482064293,0.9949625576667409,0.5836461820405404,0.9978420239740118,2.5789680701633575
16,0.0027155465037339713,0.9948959355831796,0.5836094093314228,0.9978134002316454,2.5790342916499815
17,0.0027341079972659863,0.9948902440622824,0.5836445654210074,0.9978109548053338,2.57907987228589
18,0.0027378507871321954,0.9948890908448889,0.5837356948177926,0.997810459310485,2.5791730957602987
19,0.002739726027397354,0.9948885279080889,0.5837106951719417,0.9978102174371374,2.5791491665445654
20,0.0035746201966041506,0.9947336159938085,0.4143256878035347,0.9977436515080135,2.4103775755019607
21,0.0037842951750236722,0.9946982396812954,0.41426748758190907,0.9977284485805976,2.4104784710188256
22,0.0038058991436727106,0.9946948594936112,0.4141851133386674,0.997726995916683,2.410412867892634
23,0.0038095238095238273,0.9946942787302635,0.4142608908673784,0.9977267463282177,2.410491439735383
24,0.0038095238095238273,0.9946942581868969,0.41436394073196386,0.9977267374995209,2.4105944602279052
25,0.004362050163576878,0.9946393385514065,0.32105732553041216,0.9977031345201713,2.3177618487655667
26,0.004581901489117981,0.9946141582732446,0.3211205889550424,0.9976923122170772,2.318008960934482
27,0.004602991944764093,0.9946118831299853,0.32113833283038556,0.9976913343613893,2.3180445422665246
28,0.0046082949308755726,0.9946113162016726,0.3211361871814392,0.997691090695426,2.3180468890094135
29,0.0046136101499423265,0.9946107774922647,0.321003041837922,0.9976908591578005,2.3179182886379297
30,0.0014347202295553376,0.9952736435055793,0.7900197592245823,0.9979756509719584,2.7847037739316756
31,0.0017459624618071789,0.9950467077837597,0.7900234830760129,0.9978781753897424,2.784694328711322
32,0.001773049645390179,0.9950311372043167,0.7900343182894773,0.9978714864351338,2.784709991574318
33,0.0017793594306050903,0.9950275780586875,0.7900853522326172,0.9978699574473772,2.784762247169287
34,0.001781737193764028,0.9950262491432526,0.7900760356368813,0.9978693865516206,2.7847534085255186
35,0.0029695619896066157,0.9946967480531563,0.46693520842619296,0.9977278075416314,2.462329326010587
36,0.0032786885245902272,0.9946407088091345,0.4669096267920146,0.9977037234381314,2.4625327475638707
37,0.0033057851239670036,0.9946363350351706,0.4670593020134101,0.9977018436468623,2.46270326581941
38,0.0033140016570008895,0.9946350494165012,0.4669627373521245,0.9977012911028569,2.4626130795284835
39,0.0033167495854063626,0.9946346188666749,0.4669431596790635,0.9977011060573472,2.462595634188492
40,0.004136504653567732,0.9945565897056431,0.3313656010185606,0.997667568482809,2.3277262638605807
41,0.0044593088071348905,0.9945258304342082,0.3314527657807424,0.9976543470687157,2.328092252090801
42,0.004489337822671153,0.9945232184975564,0.33149480144950677,0.9976532243451692,2.3281605821149034
43,0.004499437570303709,0.9945223724918167,0.3313799776510915,0.997652860694521,2.3280546484077327
44,0.004499437570303709,0.9945223506700831,0.33149964962574563,0.9976528513145692,2.3281742891807014
45,0.004999999999999997,0.9944974873374031,0.2569666785624764,0.9976421637974829,2.2541063296973625
46,0.005347593582887697,0.9944746104477753,0.2568706520284364,0.9976323298842376,2.254325185943337
47,0.0053763440860215015,0.9944728422107546,0.25699761455413156,0.9976315697749589,2.2544783706258666
48,0.005383580080753697,0.9944724022833163,0.2570211312436656,0.9976313806638154,2.254508494271551
49,0.005390835579514821,0.9944719928004527,0.2568915092300865,0.9976312046397571,2.2543855422498114
50,0.0015974440894569741,0.9949834105765509,0.6584539686137002,0.9978509828400467,2.652885806119755
51,0.002059732234809584,0.9947748244234553,0.6585452872523221,0.9977613600014212,2.6531412039120084
52,0.0020986358866737715,0.9947619609282883,0.6585006610316053,0.9977558322632497,2.653117090109817
53,0.002107481559536463,0.9947590972127117,0.6585777093306725,0.9977546016480279,2.6531988897509486
54,0.002110817941952616,0.9947580295819396,0.6585728490021205,0.9977541428574754,2.6531958393834882
55,0.003233629749393761,0.9945730032893007,0.3892609556067349,0.9976746234257082,2.3847422120711377
56,0.003683241252302056,0.9945187953093819,0.3893263758733169,0.9976513230595573,2.385179735494558
57,0.00372786579683134,0.9945142622836258,0.3891054118632523,0.9976493745507616,2.384996914494471
