Run,Temperature,Pressure,Feed Rate,Phenol Fraction,Cross Sectional Area,Weigth,Selectivity,Conversion,Yield,Normalized Weigth,Normalized Selectivity,Normalized Conversion,Normalized Yield,Overall Efficiency
6.0,873.15,4.0,150.0,0.0325,0.08750000000000001,4.146200000003676,1.336228420490528,0.6404307946665444,8.00743528449137,0.00016882928946972638,1.0,0.9940380249424026,1.0,2.994206854231872
7.0,873.15,4.0,150.0,0.0325,0.125,3.2681000000024722,1.3355091624756406,0.6405837131426383,8.005589776766294,0.0002141917321989751,0.9994617252530646,0.9942753757712813,0.9997695257395773,2.993720818496122
8.0,873.15,4.0,150.0,0.0325,0.16250000000000003,3.115800000002151,1.3353879044297816,0.6406083556164537,8.005278534908442,0.00022466140317078018,0.9993709787579299,0.9943136243317896,0.9997306566327041,2.9936399211255944
9.0,873.15,4.0,150.0,0.0325,0.2,3.062900000002039,1.3353460644001907,0.6406184529898601,8.005171133557125,0.00022854157824268962,0.9993396667240371,0.9943292968653429,0.9997172439296974,2.99361474909732
11.0,873.15,4.0,150.0,0.05500000000000001,0.08750000000000001,1.6713999999998324,1.3344007893455956,0.3786623209823965,8.002743631728777,0.00041881057795863964,0.9986322464655696,0.5877367996731507,0.9994140879575162,2.5862019446741953
12.0,873.15,4.0,150.0,0.05500000000000001,0.125,1.5220999999998488,1.3342846323146353,0.37867785583062885,8.002445200473227,0.0004598909401485248,0.9985453174426727,0.5877609119269387,0.9993768186890243,2.5861429389987842
13.0,873.15,4.0,150.0,0.05500000000000001,0.16250000000000003,1.4872999999998526,1.334257945454695,0.3786872065235674,8.002376632256535,0.0004706515161702881,0.9985253456627501,0.5877754255081373,0.999368255620544,2.586139678307602
14.0,873.15,4.0,150.0,0.05500000000000001,0.2,1.474399999999854,1.3342480975160802,0.3786773460239359,8.002351328936392,0.00047476939772115396,0.9985179757112779,0.5877601206357603,0.9993650956424431,2.5861179613872025
16.0,873.15,4.0,150.0,0.0775,0.08750000000000001,1.1602999999998886,1.334061430220196,0.26876031128975786,8.001871665100698,0.0006032922520038501,0.9983782785659233,0.4171535335937092,0.9993051933368169,2.4154402977484533
17.0,873.15,4.0,150.0,0.0775,0.125,1.083699999999897,1.334002347149016,0.26876614544879784,8.001719828130758,0.0006459352219249484,0.9983340622700612,0.4171625890232382,0.9992862313390554,2.4154288178542798
18.0,873.15,4.0,150.0,0.0775,0.16250000000000003,1.0647999999998992,1.3339879347131056,0.2687615991579611,8.001682788595433,0.0006574004507889429,0.9983232763627345,0.4171555325450023,0.999281605696261,2.415417815054787
19.0,873.15,4.0,150.0,0.0775,0.2,1.0577999999999,1.3339826114420963,0.2687651060700862,8.00166910783032,0.0006617508035546099,0.9983192925595706,0.41716097576233585,0.999279897188527,2.415421916313988
21.0,873.15,4.0,150.0,0.1,0.08750000000000001,0.9464999999999121,1.3339258907043692,0.2083009141232053,8.001523332098941,0.0007395668251453408,0.9982768441751048,0.32331210646505254,0.9992616921420671,2.3215902096073697
22.0,873.15,4.0,150.0,0.1,0.125,0.8921999999999181,1.3338839608086142,0.20830380495113598,8.001415565172692,0.000784577449002538,0.9982454648876177,0.3233165934336846,0.9992482337846256,2.3215948695549304
23.0,873.15,4.0,150.0,0.1,0.16250000000000003,0.8785999999999196,1.333873561100818,0.20830827560389112,8.001388835564562,0.000796722057819331,0.9982376820058613,0.3233235325110555,0.9992448956860733,2.3216028322608095
