Run,Normalized Weigth,Normalized Selectivity,Normalized Conversion,Normalized Yield,Overall Efficiency
6.0,0.00016882928946972638,1.0,0.9940380249424026,1.0,2.994206854231872
7.0,0.0002141917321989751,0.9994617252530646,0.9942753757712813,0.9997695257395773,2.993720818496122
8.0,0.00022466140317078018,0.9993709787579299,0.9943136243317896,0.9997306566327041,2.9936399211255944
9.0,0.00022854157824268962,0.9993396667240371,0.9943292968653429,0.9997172439296974,2.99361474909732
11.0,0.00041881057795863964,0.9986322464655696,0.5877367996731507,0.9994140879575162,2.5862019446741953
12.0,0.0004598909401485248,0.9985453174426727,0.5877609119269387,0.9993768186890243,2.5861429389987842
13.0,0.0004706515161702881,0.9985253456627501,0.5877754255081373,0.999368255620544,2.586139678307602
14.0,0.00047476939772115396,0.9985179757112779,0.5877601206357603,0.9993650956424431,2.5861179613872025
16.0,0.0006032922520038501,0.9983782785659233,0.4171535335937092,0.9993051933368169,2.4154402977484533
17.0,0.0006459352219249484,0.9983340622700612,0.4171625890232382,0.9992862313390554,2.4154288178542798
18.0,0.0006574004507889429,0.9983232763627345,0.4171555325450023,0.999281605696261,2.415417815054787
19.0,0.0006617508035546099,0.9983192925595706,0.41716097576233585,0.999279897188527,2.415421916313988
21.0,0.0007395668251453408,0.9982768441751048,0.32331210646505254,0.9992616921420671,2.3215902096073697
22.0,0.000784577449002538,0.9982454648876177,0.3233165934336846,0.9992482337846256,2.3215948695549304
23.0,0.000796722057819331,0.9982376820058613,0.3233235325110555,0.9992448956860733,2.3216028322608095
24.0,0.0008013737836291518,0.9982347720956289,0.32332419477916047,0.9992436476102595,2.321603988268678
31.0,0.00020868735652727728,0.9991668684699933,0.7955140899620691,0.9996432160854479,2.7945328618740377
32.0,0.00028307990941433815,0.9987504801840551,0.7956588755307559,0.9994647726035075,2.794157208227733
33.0,0.0002992731936724442,0.9986899422622655,0.7956800991377029,0.9994388219538657,2.7941081365475062
34.0,0.00030522368535792853,0.9986694974634096,0.7956952585314787,0.9994300575234096,2.7941000372036555
36.0,0.00048463029631685766,0.9983614110822804,0.4702525469648508,0.9992979598910284,2.4683965482344763
37.0,0.0005501414649481831,0.9982840946534501,0.47027112995752646,0.9992648017529357,2.4683701678288603
38.0,0.0005668475180177083,0.9982675990064243,0.4702658163262668,0.9992577270039825,2.4683579898546912
39.0,0.0005731128213526018,0.9982616910991431,0.4702792763808842,0.999255193153877,2.468369273455257
41.0,0.0006879606879607528,0.9981993268603321,0.3337428878850296,0.9992284446283397,2.331858620061662
42.0,0.0007553685119241015,0.9981588452220702,0.3337627142008024,0.9992110807044201,2.3318880086392166
43.0,0.0007730535615682657,0.9981495493930084,0.3337666728035473,0.999207093299857,2.331896369057981
44.0,0.0007797705246742391,0.9981461449624606,0.33376639450379264,0.999205632973879,2.3318979429648063
46.0,0.0008381226053640607,0.9981332180561949,0.258658493431516,0.9992000879427632,2.256829922035838
47.0,0.0009090909090909901,0.9981041158686579,0.25866331511654916,0.9991876041808196,2.2568641260751177
48.0,0.0009278897136798278,0.9980972535636566,0.2586674656564445,0.9991846604451876,2.2568772693789687
49.0,0.0009350788137858161,0.9980947138406376,0.2586624305894743,0.9991835709696827,2.2568757942135806
56.0,0.00020236477696493834,0.9989856890013715,0.6629819077322197,0.999565581953053,2.661735543463609
57.0,0.0003281608925976161,0.9984652471134702,0.6631327801400495,0.9993424866813204,2.6612686748274377
58.0,0.00035165276800968123,0.998413181283989,0.6631586954678962,0.9993201605625419,2.6612436900824368
59.0,0.0003601934753525117,0.9983961512927639,0.6631563597925535,0.9993128577182598,2.6612255622789296
61.0,0.0005126327352618593,0.9982409627553871,0.3918919980306198,0.9992463028118369,2.3898918963331055
62.0,0.0006113537117904517,0.998159793547743,0.3919073920619439,0.999211487482122,2.389890026803599
63.0,0.0006354393609296176,0.9981443129695416,0.3919072911048688,0.999204847140598,2.389891890575938
64.0,0.0006444485361812434,0.9981388622274617,0.39190535807070875,0.9992025090352603,2.389891177869612
66.0,0.0007300031285849049,0.9981143280628948,0.2781379195506478,0.9991919848817318,2.2761742356238592
67.0,0.0008301707779886903,0.9980721614119695,0.27814117153517876,0.9991738964217163,2.2762174001468534
68.0,0.0008556411196675996,0.9980632292732357,0.2781430572957714,0.9991700646409449,2.2762319923296195
69.0,0.000865265760197853,0.9980600118779914,0.27813818517685635,0.999168684407269,2.2762321472223146
71.0,0.0008894536213469665,0.9980633869137755,0.21556432917785645,0.9991701322671921,2.213687301980171
72.0,0.0009943181818182685,0.998033119522237,0.2155612582498423,0.9991571476288816,2.213745843582779
73.0,0.00102130142982209,0.9980264749215997,0.21557323968483516,0.9991542970508952,2.2137753130871523
74.0,0.0010315355142942238,0.9980240600556267,0.21557305729444082,0.9991532610519458,2.2137819139163075
82.0,0.0003565243964551652,0.9983191744933194,0.5684406293654336,0.9992798465541233,2.5663961748093316
83.0,0.00038914832110299686,0.9982686191024938,0.5684541847602821,0.9992581645126004,2.566370116696479
84.0,0.0004007786556739211,0.9982528502680522,0.5684639289985158,0.9992514013662589,2.566368959288501
86.0,0.000507393447376101,0.9981860247699275,0.3359109612890961,0.9992227390072128,2.3338271185136126
87.0,0.0006521941675207924,0.9980897134323258,0.3359356987655923,0.999181425914483,2.3338590322799218
88.0,0.0006852667645619833,0.9980741589630389,0.33594076555961505,0.9991747533418707,2.3338749446290867
89.0,0.0006974890394580169,0.9980688378602789,0.3359468705804174,0.9991724706623495,2.3338856681425035
91.0,0.0007378517971962319,0.9980698091730105,0.23840753265420844,0.9991728873431032,2.2363880809675183
92.0,0.0008809463881198878,0.9980220449036282,0.2384217854951228,0.9991523965315763,2.2364771733184474
93.0,0.0009158707313882797,0.9980129668413007,0.23841583564472965,0.9991485019275286,2.2364931751449473
94.0,0.000928874734607301,0.9980097858414904,0.2384219932745196,0.999147137228625,2.236507791079242
96.0,0.0009040423608421315,0.9980254764458394,0.1847737894435671,0.9991538686962477,2.1828571769464964
