Run,Temperature,Pressure,Feed Rate,Phenol Fraction,Cross Sectional Area,Weigth,Selectivity,Conversion,Yield
31.0,873.15,4.0,187.5,0.0325,0.08750000000000001,3.354300000002654,1.3351151664621261,0.5125273963562521,8.004578360385047
32.0,873.15,4.0,187.5,0.0325,0.125,2.472800000000794,1.3345587766004963,0.512620677633712,8.00314948575147
33.0,873.15,4.0,187.5,0.0325,0.16250000000000003,2.3390000000005116,1.3344778841088836,0.5126343514078753,8.002941687603872
34.0,873.15,4.0,187.5,0.0325,0.2,2.2934000000004153,1.334450565187601,0.512644118179728,8.00287150699419
36.0,873.15,4.0,187.5,0.05500000000000001,0.08750000000000001,1.4443999999998574,1.33403889140917,0.30297051500028505,8.001813743751663
37.0,873.15,4.0,187.5,0.05500000000000001,0.125,1.2723999999998763,1.3339355789995964,0.30298248750080103,8.001548232106732
38.0,873.15,4.0,187.5,0.05500000000000001,0.16250000000000003,1.2348999999998804,1.333913537047226,0.3029790640773456,8.001491581512335
39.0,873.15,4.0,187.5,0.05500000000000001,0.2,1.221399999999882,1.3339056427336113,0.30298773601268264,8.001471291871594
41.0,873.15,4.0,187.5,0.0775,0.08750000000000001,1.0174999999999044,1.3338223098652897,0.2150211737774333,8.001257104784399
42.0,873.15,4.0,187.5,0.0775,0.125,0.9266999999999143,1.3337682171497363,0.21503394731611802,8.001118064287327
43.0,873.15,4.0,187.5,0.0775,0.16250000000000003,0.9054999999999166,1.3337557957987518,0.21503649773274003,8.001086135403336
44.0,873.15,4.0,187.5,0.0775,0.2,0.8976999999999175,1.3337512467018982,0.21503631843202056,8.001074441937572
46.0,873.15,4.0,187.5,0.1,0.08750000000000001,0.8351999999999243,1.333733973402357,0.16664640621287635,8.001030040459762
47.0,873.15,4.0,187.5,0.1,0.125,0.7699999999999315,1.3336950862322716,0.16664951268918807,8.000930077543892
48.0,873.15,4.0,187.5,0.1,0.16250000000000003,0.7543999999999332,1.3336859166252988,0.16665218676552798,8.000906505771324
49.0,873.15,4.0,187.5,0.1,0.2,0.7485999999999339,1.3336825229752207,0.16664894281322432,8.000897781866724
56.0,873.15,4.0,225.0,0.0325,0.08750000000000001,3.4591000000028753,1.3348730693069444,0.4271406318114332,8.003956710094027
57.0,873.15,4.0,225.0,0.0325,0.125,2.133100000000077,1.3341776400651169,0.4272378346684822,8.002170289143352
58.0,873.15,4.0,225.0,0.0325,0.16250000000000003,1.9905999999997972,1.3341080682240278,0.42725453118671436,8.00199151419208
59.0,873.15,4.0,225.0,0.0325,0.2,1.9433999999998024,1.334085312265752,0.4272530263766585,8.001933037139098
61.0,873.15,4.0,225.0,0.05500000000000001,0.08750000000000001,1.365499999999866,1.3338779449315747,0.2524850130725655,8.00140010303305
62.0,873.15,4.0,225.0,0.05500000000000001,0.125,1.1449999999998903,1.333769484329452,0.25249493101480375,8.00112132153345
63.0,873.15,4.0,225.0,0.05500000000000001,0.16250000000000003,1.101599999999895,1.3337487987408938,0.25249486597099435,8.00106814942843
64.0,873.15,4.0,225.0,0.05500000000000001,0.2,1.0861999999998968,1.3337415153044139,0.2524936205713495,8.00104942720125
66.0,873.15,4.0,225.0,0.0775,0.08750000000000001,0.9588999999999107,1.3337087320564465,0.1791964536316828,8.000965155722946
67.0,873.15,4.0,225.0,0.0775,0.125,0.8431999999999235,1.3336523877790833,0.1791985487940258,8.000820313549976
68.0,873.15,4.0,225.0,0.0775,0.16250000000000003,0.8180999999999262,1.3336404524014513,0.17919976373663823,8.000789630813426
69.0,873.15,4.0,225.0,0.0775,0.2,0.8089999999999272,1.333636153226486,0.17919662476719223,8.000778578681588
