,Run,Temperature,Pressure,Feed Rate,Phenol Fraction,Cross Sectional Area,Weigth,Selectivity,Conversion,Yield
764,1009.0,923.15,12.25,150.0,0.0325,0.2,0.0191999999999999,1.3333471572834037,0.6422764323389575,8.000035547089597
1247,1631.0,973.15,12.25,150.0,0.0325,0.0875,0.0125999999999999,1.3333417433399914,0.6422754189010932,8.000021625653458
763,1008.0,923.15,12.25,150.0,0.0325,0.1625,0.0191999999999999,1.3333471572931548,0.6422736116341412,8.000035547114656
762,1007.0,923.15,12.25,150.0,0.0325,0.125,0.0191999999999999,1.3333471573182696,0.6422663441124808,8.000035547179237
761,1006.0,923.15,12.25,150.0,0.0325,0.0875,0.0191999999999999,1.333347157406396,0.6422408467509132,8.000035547405849
2336,3009.0,1073.15,15.0,150.0,0.0325,0.2,0.0028999999999999,1.333334778345464,0.6422172293929637,8.000003715743174
2335,3008.0,1073.15,15.0,150.0,0.0325,0.1625,0.0028999999999999,1.333334778345589,0.6422168987867415,8.000003715743498
2334,3007.0,1073.15,15.0,150.0,0.0325,0.125,0.0028999999999999,1.33333477834591,0.6422160469744403,8.000003715744322
2333,3006.0,1073.15,15.0,150.0,0.0325,0.0875,0.0028999999999999,1.3333347783470353,0.6422130585068414,8.000003715747217
2332,3005.0,1073.15,15.0,150.0,0.0325,0.05,0.0028999999999999,1.333334778354488,0.6421932711598785,8.000003715766383
1246,1630.0,973.15,12.25,150.0,0.0325,0.05,0.0125999999999999,1.3333417435819075,0.6421582180597115,8.000021626275526
2132,2755.0,1073.15,9.5,150.0,0.0325,0.05,0.0183999999999999,1.3333424755638037,0.6421504485351986,8.00002350850052
382,509.0,873.15,15.0,150.0,0.0325,0.2,0.0139999999999999,1.3333433062239637,0.6421243054520838,8.000025644466309
381,508.0,873.15,15.0,150.0,0.0325,0.1625,0.0139999999999999,1.333343306227446,0.642123016593631,8.000025644475262
380,507.0,873.15,15.0,150.0,0.0325,0.125,0.0139999999999999,1.3333433062364286,0.6421196960727553,8.000025644498347
379,506.0,873.15,15.0,150.0,0.0325,0.0875,0.0139999999999999,1.3333433062679445,0.642108047057212,8.00002564457939
